127.0.0.1 - - [02/Jan/2021:15:57:34 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/index.jsp HTTP/1.1" 200 9251
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/assets/css/main.css HTTP/1.1" 200 85211
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/assets/js/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/assets/js/jquery.scrolly.min.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/assets/css/exhibition_list.css HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/assets/js/browser.min.js HTTP/1.1" 200 1851
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/assets/js/jquery.scrollex.min.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/assets/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/assets/js/main.js HTTP/1.1" 200 5312
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/assets/css/fontawesome-all.min.css HTTP/1.1" 200 56207
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/images/pic01.jpg HTTP/1.1" 200 275450
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/images/bg.jpg HTTP/1.1" 200 1764563
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/images/overlay.png HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75440
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:36 +0900] "GET /PicHall/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 74508
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:37 +0900] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [02/Jan/2021:15:57:38 +0900] "GET /PicHall/exhibition/ExhibitionMainList.ex HTTP/1.1" 200 784
